index,callsite,parent_va,source_file,symbol,coverage
0,0x79A5C5,0x79A570,src/split_input_command_mapping_120.cpp,MapOwnedLocalUiCommand_79A570,exact
1,0x7B4219,0x7B4210,src/split_ui_owner_native_routes_120.cpp,UiOwnerMaskA_7B4210,exact
2,0x7B42A9,0x7B42A0,src/split_ui_owner_native_routes_120.cpp,UiOwnerMaskB_7B42A0,exact
3,0x7B4339,0x7B4330,src/split_ui_owner_native_base_120.cpp,UiInputReady_7B4330,exact
4,0x7B4379,0x7B4370,src/split_ui_owner_native_base_120.cpp,UiCommand4370_7B4370,exact
5,0x7B43C9,0x7B43C0,src/split_ui_route_reset_120.cpp,UiRoute43C0_7B43C0,exact
6,0x7B4489,0x7B4480,src/split_ui_owner_native_base_120.cpp,UiCommand4480_7B4480,exact
7,0x7B44D9,0x7B44D0,src/split_ui_owner_native_routes_120.cpp,ReplaceOwnedUiObject_7B44D0,exact
8,0x7B4680,0x7B4660,src/split_ui_owner_native_routes_120.cpp,UiOwnedInput38_7B4660,exact
9,0x7B4730,0x7B4710,src/split_ui_owner_native_routes_120.cpp,UiFallbackInput_7B4710,exact
10,0x7B47E0,0x7B47C0,src/split_ui_owner_native_routes_120.cpp,UiOwnedInput44_7B47C0,exact
11,0x7B51C7,0x7B5180,src/split_ui_owner_native_routes_120.cpp,UiRouteValue24_7B5180,exact
12,0x7B5227,0x7B51E0,src/split_ui_owner_native_routes_120.cpp,UiRouteValue28_7B51E0,exact
13,0x7B5287,0x7B5240,src/split_ui_owner_native_routes_120.cpp,UiRouteValue2C_7B5240,exact
14,0x7B52E7,0x7B52A0,src/split_ui_owner_native_routes_120.cpp,UiGetCursor_7B52A0,exact
15,0x7B5347,0x7B5300,src/split_ui_owner_native_routes_120.cpp,UiRouteValue34_7B5300,exact
16,0x7B53A7,0x7B5360,src/split_ui_owner_native_routes_120.cpp,UiGetSelection_7B5360,exact
17,0x7B5407,0x7B53C0,src/split_ui_owner_native_routes_120.cpp,UiRouteValue40_7B53C0,exact
18,0x7B5467,0x7B5420,src/split_ui_owner_native_routes_120.cpp,UiRouteValue44_7B5420,exact
19,0x7B54D6,0x7B5480,src/split_ui_owner_native_routes_120.cpp,UiRouteValue58_7B5480,exact
20,0x7B5546,0x7B54F0,src/split_ui_owner_native_routes_120.cpp,UiRouteValue5C_7B54F0,exact
21,0x7B55A7,0x7B5560,src/split_ui_owner_native_routes_120.cpp,UiRouteValue7C_7B5560,exact
22,0x7B5607,0x7B55C0,src/split_ui_owner_native_routes_120.cpp,UiRouteValue84_7B55C0,exact
23,0x7B5629,0x7B5620,src/split_ui_owner_native_routes_120.cpp,UiRoute5620_7B5620,exact
24,0x7B5759,0x7B5750,src/split_ui_owner_native_routes_120.cpp,UiRoute5750_7B5750,exact
25,0x7B5879,0x7B5870,src/split_ui_owner_native_routes_120.cpp,UiSelection_7B5870,exact
26,0x7B5909,0x7B5900,src/split_ui_owner_native_routes_120.cpp,UiSelectionStep_7B5900,exact
27,0x7B59B9,0x7B59B0,src/split_ui_owner_native_routes_120.cpp,UiSelectionStepBy_7B59B0,exact
28,0x7B5A69,0x7B5A60,src/split_ui_owner_native_routes_120.cpp,UiSelectionNext_7B5A60,exact
29,0x7B5BF3,0x7B5BB0,src/split_ui_owner_native_routes_120.cpp,UpdateOwnedUiRouteActivity_7B5BB0,exact
30,0x7B6339,0x7B6330,src/split_ui_owner_native_routes_120.cpp,UiOwnedRouteMissing_7B6330,exact
31,0x7D755F,0x7D7500,src/split_routed_prompt_120.cpp,ResolveRoutedPromptCode_7D7500,exact
32,0x9E1DDF,0x9E1D4D,src/split_ui_input_mask_9e1d4d_120.cpp,BuildLocalUiInputMask_9E1D4D,exact
33,0xA02F26,0xA02F20,src/split_ui_owner_consumer_completion_120.cpp,OwnerFilteredUiCommand_A02F20,exact
34,0xA02F46,0xA02F40,src/split_ui_owner_consumer_completion_120.cpp,OwnerFilteredUiCommandAlt_A02F40,exact
35,0xA04BDA,0xA04B90,src/split_late_799b50_consumers_120.cpp,OwnerCommand54Branch_A04BDA,exact_feature_block
36,0xA0880A,0xA08750,src/split_late_799b50_consumers_120.cpp,OwnerCommand5ABranch_A0880A,exact_feature_block
37,0xA0B2DB,0xA0B210,src/split_late_799b50_consumers_120.cpp,OwnerCommand58Branch_A0B2DB,exact_feature_block
38,0xA0B7F1,0xA0B6E0,src/split_late_799b50_consumers_120.cpp,PreferredOwnerImmediateRoute_A0B7F1,exact_feature_block
39,0xA0BFBB,0xA0BEF0,src/split_late_799b50_consumers_120.cpp,OwnerCommand58Branch_A0BFBB,exact_feature_block
