VA,name,status,scope,evidence
0x00A1B0E0,DisplayObserverNeighbor,OutOfScope,not split-specific,"direct 0xA1B0E0..0xA1B16B disassembly contains no +3064..+3085 access or split helper call; A1B240 is separate"
0x00B793B0,SplitCursorPreClamp,Verified,split-relevant scope complete,"split behavior isolated at 0xB794AD..0xB79659; remaining parent body is generic cursor/update"
0x009EDE30,SplitResourceGeometryFamily,Verified,split-relevant scope complete,"full 0x9EDE30..0x9EF569 audit; split blocks 9EEE00,9EEF19,9EF000,9EF16A,9EF37B,9EF413,9EF450,9EF4CC captured; remaining code generic resource work"
0x00A2D710,SplitAspectCorrectionFamily,Verified,split-relevant scope complete,"status-1 input correction plus both split-aware draw-wrapper families reconstructed; remaining tails non-split renderer work"
0x009F2280,TransientSplitVisibilityGuard,Verified,split-relevant scope complete,"split projection 9F24E1..9F2661 and visibility 9F2A80..9F2A9C reconstructed; remaining body generic widget update"
0x007B5C50,SplitUiTransformFamily,Verified,split-relevant scope complete,"affine setup 7B5D60..7B5F44 and hit-test 7B6034..7B60A8 reconstructed; surrounding state logic non-split"
0x0076A420,SplitCoordX,Verified,direct split helper,"native coordinate helper reconstructed in split_coordinate_helpers_120.cpp"
0x0076A460,FullSplitCoordX,Verified,direct split helper,"native Full-mode coordinate helper reconstructed in split_coordinate_helpers_120.cpp"
0x0076A4A0,SplitCoordY,Verified,direct split helper,"native vertical coordinate helper reconstructed in split_coordinate_helpers_120.cpp"
0x0079AB10,UpdateInputAvailability,Verified,local-J2 input ownership,"0x79AB10..0x79AD94 availability/device/owner synchronization reconstructed"
0x007D7500,ResolveRoutedPrompt,Verified,local-J2 prompt routing,"0x7D7500..0x7D7615 player/device prompt routing reconstructed"
0x007DEA10,LocalPlayerOverlayFamily,Verified,local-J2 split UI,"0x7DEA10..0x7DF0FF per-player overlay geometry and split transforms reconstructed"
0x007DFBA0,UpdateTwoLocalPlayerUi,Verified,local-J2 split UI,"0x7DFBA0..0x7DFF5A two-slot update/navigation/routing loop reconstructed"
0x007DC143,MeasuredSplitXDelta,Verified,split geometry,"0x7DC143..0x7DC1B4 status/split-aware measured X correction reconstructed"
0x0079BE50,LocalOwnerIndicator,Verified,local-J2 input/UI,"owner/device indicator and split geometry path reconstructed"
0x009F3200,WidgetProjectionA,Verified,split projection,"remaining direct split widget projection reconstructed"
0x009F3852,WidgetProjectionB,Verified,split projection,"remaining direct split widget projection reconstructed"
0x00A2ABC7,PlayerAnchorA,Verified,J1/J2 geometry,"native 0.3/0.7 player anchoring and effective-Full 0.5 override reconstructed"
0x00A2B0AD,PlayerAnchorB,Verified,J1/J2 geometry,"twin native 0.3/0.7 player anchoring and effective-Full 0.5 override reconstructed"
0x00A25B00,MenuLayoutSplitFamily,Verified,menu split geometry,"all 25 direct split-state accesses classified and represented; exact constants 144,260,-190,-158,-222,-380,-0.0"
0x00A2DC50,RemainingDirectGeometryA,Verified,split geometry,"direct split-state consumer reconstructed"
0x00A2DED0,RemainingDirectGeometryB,Verified,split geometry,"direct split-state consumer reconstructed"
0x00A2EED0,RemainingDirectGeometryC,Verified,split geometry,"direct split-state consumer reconstructed"
0x00A302D0,RemainingDirectGeometryD,Verified,split geometry,"direct split-state consumer reconstructed"
0x00A33F60,HudGeometryRemaining,Verified,HUD split geometry,"remaining split-specific arithmetic reconstructed including native integer W/H division path"
0x00852B00,SplitScalarMultiplier,Verified,split scalar state,"splitActive selects 2.0 and status-1 applies native second 2.0 multiplier; reconstructed"
GLOBAL_SPLIT_OBJECT,DirectSplitStateAudit,Verified,audit closure,"91 candidate groups classified by base provenance; no confirmed 0x123457C split-state consumer remains unclassified"
GLOBAL_KEYBOARD_OWNER,KeyboardPlayerNoAudit,Verified,audit closure,"high-confidence InputManager+0x614 consumers/writers classified by base provenance; unrelated +0x614 collisions excluded"
BUILD_2026_09_11,StaticWin32Build,Verified,build validation,"commit 1e89b85b0ac1dd614ff0a7921456b205cd73f367; GitHub Actions run 83 id 34571360835; 123/123 build steps success; archive produced"
